link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Hayner (Ward 1),Song (Ward 2),Griswold (Ward 2),Radina (Ward 3),Grand (Ward 3),Eyer (Ward 4),Nelson (Ward 4),Briggs (Ward 5),Ramlawi (Ward 5)
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5706387&GUID=C52C4AD3-67F8-40B5-8C0B-4804FA72BB37&Options=&Search=,nomination pass,MC-1,Mayoral Appointments: Peter Houk to Transportation Commission,TRUE,TRUE,FALSE,TRUE,absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5721531&GUID=22FCE356-261C-4565-A052-EA5A628EB387&Options=&Search=,nomination,MC-2,Mayoral Appointments: Kristina Glusac to the Zoning Board of Appeals,,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5724094&GUID=34D0CA58-9B88-4F54-89D6-33418A5AEB9B&Options=&Search=,nomination,MC-3,Mayoral Appointments: Nicholas Roumel to the Renters Commission,,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717315&GUID=F330AF0E-FDEF-4D29-AC9A-D8FD38C8778A&Options=&Search=,consent,CA-1,"Resolution to Approve Street Closing for the NTI Block Party - Wednesday, August 3, 2022 from Noon to 1:00 AM on Thursday, August 4, 2022",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717316&GUID=B7BFF18B-28CF-4198-A611-7961042AF4E1&Options=&Search=,consent,CA-2,"Resolution to Approve Street Closing for the NYPD 25th Anniversary Block Party on Friday, August 12 at 12:00 Noon until Saturday, August 13 at 1:00 AM",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717314&GUID=B42F0F39-D99C-4545-B5F6-95C0FC434AD3&Options=&Search=,consent,CA-3,"Resolution to Approve Street Closings for the UA Block Party and Plumbers & Pipefitters 5K - Monday, August 15, 2022",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717313&GUID=1FEF72B6-223F-47C3-86BB-D3FF81979912&Options=&Search=,consent,CA-4,"Resolution to Approve Changes to Traffic Patterns and Parking on Certain City Streets for the 2022 University of Michigan Student Move-In Program from August 24 - August 28, 2022",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717312&GUID=9D1C2879-DCA9-46BE-82E2-7744AF5F31D2&Options=&Search=,consent,CA-5,"Resolution to Approve Street Closure of Washington Street between Fletcher and Thayer Streets for the University of Michigan Go Blue Mix on Saturday, September 3, 2022 from 4:00 PM until 2:00 AM on Sunday, September 4, 2022",,,,,,,,,,,
,consent,CA-6,"Resolution to Approve Street Closings for the “Dancing in the Streets” Special Event - September 4, 2022",,,,,,,,,,,
http://a2gov.legistar.com/LegislationDetail.aspx?ID=5717305&GUID=33D4D5E0-631A-438D-9A60-8B95E1BEBCA8&Options=&Search=,consent,CA-7,"Resolution to Approve an Agreement with the Washtenaw County Sheriff’s Office for Weapons Screening Services in the Ann Arbor Justice Center (NTE $205,000.00)",,,,,,,,,,,
