link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Hayner (Ward 1),Song (Ward 2),Griswold (Ward 2),Radina (Ward 3),Grand (Ward 3),Eyer (Ward 4),Nelson (Ward 4),Briggs (Ward 5),Ramlawi (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5781732&GUID=3E9AE639-AD15-4619-8593-FF0E5F971EE4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5814745&GUID=75565732-864C-42F3-AD57-63C28806E34C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-2,"Nominations and Appointments for September 19, 2022",,,,,,,,,,,
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815828&GUID=5E2B0062-E967-424E-90E2-ACAD9DE727D5&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve the Purchase of Ice Control Salt through the Michigan Delivering Extended Agreements Locally (MiDEAL) from the Detroit Salt Company for Early Fill ($86,675.00) and for Seasonal Backup Supply ($215,600.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815876&GUID=AE321D7E-6E8C-4780-8BAB-B849516FFAE9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve a Two (2) Year Purchasing Agreement with Cadillac Asphalt, LLC for Bituminous Patching Materials, ITB-4724 ($136,500.00 Annually)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815877&GUID=D5E3C724-FC72-450C-8423-BB61854F21CD&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve a Two (2) year Purchasing Agreement for Aggregate Materials and Hauling Services for Excavation and Street Sweeping Waste from Farmer & Underwood Trucking, Ltd., ITB-4723 ($280,780.95 annually)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815879&GUID=FF5D2F35-4C02-4E98-BD50-1A7FC63059BB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a Construction Contract with Cascade Drilling, Limited Partnership for Sentinel Monitoring Well Installation (RFP 22-36) ($332,695.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815878&GUID=9C5FE33A-8F1F-424F-88DE-825B1492A67E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve a Construction Contract with Monroe Plumbing and Heating Company for the Sodium Hypochlorite Storage Tank Replacement (RFP 22-43)($640,980.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815886&GUID=AE7453E5-A5B2-4F01-9B12-47B4C62D269C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve Amendment No. 1 to the Professional Services Agreement with Hubbell, Roth and Clark, Inc. (HRC) for As-Needed Transportation Engineering Services",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815889&GUID=A4587C26-942B-4B2A-BEB2-E8F069C9D740&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve a Construction Contract with the Michigan Department of Transportation for the Huron Parkway and Glazier Way Capital Preventative Maintenance Project ($938,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5815881&GUID=FB401ED2-D571-49D3-A530-BD9E9ED64B1B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Approve the Second Amendment to the Master Service and Purchasing Agreement with Axon Enterprise, Inc. for the Purchase of a Virtual Reality Training System, Five-Year Quote ($114,225)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
