link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5936166&GUID=1AF742E6-D747-474B-B41A-9CB700167056&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-1,Resolution Electing 2022-2024 Mayor Pro Tem and Establishing Order of Succession for Acting Mayor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5893198&GUID=AD57A474-5C18-47CD-83FB-1FAC70C9CFB3&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933420&GUID=27D5FC20-ADAB-465B-B7CF-A116C99C7C1A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Accept and Appropriate Michigan Supreme Court State Court Administrative Office Mental Health Court Grant Award and Approve Grant Contract ($115,100.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933421&GUID=FBAA135D-8C6E-42F2-B102-54E5CF2D23F9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Accept and Appropriate Michigan Supreme Court State Court Administrative Office Drug Court Grant Funds and Approve Grant Contract ($100,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933422&GUID=7BDE8123-6352-4117-8439-B0EB0A3BFC24&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Accept and Allocate Michigan Supreme Court State Court Administrative Office Michigan Veterans Treatment Court Grant Award and Approve Grant Contract ($25,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933411&GUID=8F190D98-9D8B-4A6E-8AB1-BAC8F5FA6F4F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Appropriate $492,218.00 from the County Mental Health Millage Fund fund Balance to Amend the FY23 Budget for pass-through Tenant Supportive Services Contracts (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933423&GUID=57D8C05B-6698-4934-A81A-AE77B0926C7A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Authorize the Purchase of a Vacuum Truck from Fredrickson Supply (Sourcewell bid - $532,762.02)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933424&GUID=CADFE752-16CB-4F94-BE03-AF06ED216F23&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Amend a Purchase Order with Bell Equipment Company for Parts and Repair Services ($100,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5933425&GUID=F5BF65B5-05E7-42C6-A6C8-585C96F67A83&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution Approving a Contract with the Shelter Association of Washtenaw County for the 2022 - 2023 Winter Emergency Shelter and Warming Center ($72,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5940157&GUID=D4F8A85C-A39D-478A-A5E6-1BD88A31A378&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve and Appropriate FY 23 Budget and Allocations for 1-Year Mini-Grants as Part of the New Human Service Partnership ($164,903.48)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
