link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6042437&GUID=8CE733CD-89CF-4964-8819-92A47217E1D9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054979&GUID=0A52C02E-0DE4-489A-A45F-81F06A193D87&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve the Closing of Streets for the 2023 Glacier Highlands Neighborhood Association Annual Memorial Day Parade, Monday, May 29, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054974&GUID=DB489711-56AD-446A-99A2-8F8D2542FB5E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,Resolution to Approve a Land and Water Conservation Grant Application to the Michigan Department of Natural Resources Grants Management for Improvements at the Buhr Park Ice Arena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054970&GUID=1E408CC5-AC6E-45E7-8509-9D104D3E70ED&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Enter a Lease with Huron River Holdings, LLC for Seasonal Parking for Argo Park ($102,031.00 / 6 yrs.) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054964&GUID=946DAF1B-D1DB-4880-9881-C2EA0EF7EC04&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve a Purchase Order to Amerinet of Michigan, Inc. for the Purchase of Networking Equipment, Software, and Related Services to Replace Legacy Justice Center Building Network Equipment and Upgrade the Justice Center Building Network to a Fabric Connected Network ($132,850.18) (GSA Schedule IT 70 - GS-35F-0511T)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054965&GUID=AFD81DC2-EE9D-43DB-92F4-A2A510C43C59&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Purchase Order to AmeriNet of Michigan, Inc. for the purchase of Extreme Networks Wireless Networking Equipment, Software, and Related Services to Replace legacy Cisco Wireless Equipment ($102,621.00) (GSA Schedule IT 70 - GS-35F-0511T)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054967&GUID=1959FAA5-193C-499B-8089-88A0E59C5DDA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a $3,500,000 American Rescue Plan Act Subrecipient Grant for the Acquisition of 8 duplexes on Liberty, Virginia and Siller Terrace by the Ann Arbor Housing Development Corporation for Affordable Housing ($3,500,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054969&GUID=86B00D73-B8C6-4014-B177-A662E1162C51&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,Resolution to Transfer Ownership of 121 E. Catherine to the Ann Arbor Housing Development Corporation ($1.00) (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054968&GUID=7C00A6FA-E4BC-4504-B97D-E355E62B7B63&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,Resolution to Approve a Tax Exemption for the Ann Arbor Housing Development Corporation’s Affordable Housing Project at 121 E Catherine and Payment of a Service Charge in Lieu of Taxes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054961&GUID=B10A7FE3-C155-46BE-9AA4-1673138A9CFB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution Authorizing Water Capital Recovery Charges for 3090 Geddes Av. ($5,274.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054962&GUID=8DA77725-9D4D-4985-A3D1-95E2AE0B0D37&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution Authorizing Sanitary Sewer Capital Recovery Charges for 3090 Geddes Av. ($25,954.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054976&GUID=B72EC554-1A5F-45FE-B096-18786AFADAEA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-12,"Resolution Authorizing Water Capital Recovery Charges for 190 Orchard Hills Ct. ($2,696.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054975&GUID=7AEE90C1-6263-4928-8623-34DB2D41BEDB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-13,"Resolution to Authorize a Sole Source Purchase Order to Michigan Lighting Systems East, LLC (MLS East) in the amount of $43,050.00 for Spring City Street Light Poles and Associated Fixtures and Luminaires",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054959&GUID=C9B6B2CF-115D-474F-8756-521C514504A4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-14,"Resolution to Approve Amendment No. 1 to the Professional Services Agreement with Wade Trim Associates, Inc. for the State and Hill Streets Improvements Project ($385,780.00 Amendment, $834,814.00 Contract Total)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6054960&GUID=4D66B9FD-8C81-4780-845A-FDD8D5128D3B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-15,"Resolution to Approve a Construction Contract with Bailey Excavating, Inc. for the Broadway Water Main and Resurfacing Project ($3,242,493.43)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6057047&GUID=3C5E534E-741E-4055-9E6E-68E4A3E9C32C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-16,"Resolution to Approve a Construction Contract with Fonson Company, Inc. for the 2023 Miscellaneous Utility Projects ($4,203,293.63)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
